3 : wiRenderer Initialized  S:1679MBV: (1679,7) 
356 : Graphics Card Used: NVIDIA GeForce RTX 3060                                             S:320MB V: (1999,9)     
1775430 : entering skybank                                                                    S:0MB   V: (4640,1383)  
1775438 : checking skybank files                                                              S:0MB   V: (4640,1383)  
1775447 : clear                                                                               S:0MB   V: (4640,1383)  
1775456 : cloudy                                                                              S:0MB   V: (4640,1383)  
1775467 : highcloud                                                                           S:0MB   V: (4640,1384)  
1775476 : night                                                                               S:0MB   V: (4640,1384)  
1775486 : overcast                                                                            S:0MB   V: (4641,1384)  
1775497 : stormy                                                                              S:0MB   V: (4641,1384)  
1775507 : sunny                                                                               S:0MB   V: (4641,1385)  
1775516 : sunrise                                                                             S:0MB   V: (4641,1385)  
1775526 : sunset                                                                              S:0MB   V: (4642,1385)  
1775538 : entering skybank                                                                    S:0MB   V: (4642,1385)  
1775546 : finished sky bank scan                                                              S:0MB   V: (4642,1385)  
1775554 : REFRESH B-LIST ASSETS                                                               S:0MB   V: (4642,1385)  
1776846 : REFRESHING LIBRARY FOLDERS                                                          S:187MB V: (4830,1687)  
1777245 : RESCANNING G-LIST                                                                   S:1MB   V: (4831,1687)  
1777305 : new total guns=72                                                                   S:0MB   V: (4831,1687)  
1777324 : new total decals=27                                                                 S:0MB   V: (4831,1687)  
2009022 : loading in collection - items.tsv                                                   S:-14MB V: (4817,1385)  
2009030 : title	profile	image	description	cost	value	container	ingredients	style              S:0MB   V: (4817,1385)  
2009039 :                                                                                     S:0MB   V: (4817,1385)  
2009047 : loading collection complete                                                         S:0MB   V: (4817,1385)  
2009198 : REFRESH SKY ASSETS                                                                  S:45MB  V: (4862,1466)  
2009207 : entering skybank                                                                    S:0MB   V: (4862,1466)  
2009215 : checking skybank files                                                              S:0MB   V: (4862,1466)  
2009224 : clear                                                                               S:0MB   V: (4862,1466)  
2009233 : cloudy                                                                              S:0MB   V: (4861,1466)  
2009243 : highcloud                                                                           S:0MB   V: (4861,1466)  
2009254 : night                                                                               S:0MB   V: (4861,1467)  
2009264 : overcast                                                                            S:0MB   V: (4861,1467)  
2009274 : stormy                                                                              S:0MB   V: (4861,1467)  
2009283 : sunny                                                                               S:0MB   V: (4861,1467)  
2009293 : sunrise                                                                             S:0MB   V: (4861,1467)  
2009302 : sunset                                                                              S:0MB   V: (4861,1468)  
